Type_of_client;Age;Gender;Favorite_batter;Favorite_filling;Favorite_frosting;More_toppings;Topping_examples;Configuration;Frequency_of_buying;Occasion;Interest_in_seasonality;Seasonal_option;Product_type;Willingness_to_pay
Adult;33.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Whole cake;Weekly;Wedding;No;None;Whole cake;33.40 €
Kid;15.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;No;None;Slice;Weekly;Celebration;No;None;Slice;2.60 €
Kid;7.0;Masculine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Nuts;Cupcake;Daily;Snack;No;None;Cupcake;2.00 €
Adult;54.0;Masculine;Red Velvet;Lemon curd;Ganache;No;None;Wedding cake;Daily;Gathering;Yes;Fall;Wedding cake;48.80 €
;4.0;Masculine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Nuts;Slice;Weekly;Birthday;No;None;Slice;1.20 €
Adult;39.0;Feminine;Carrot;Lemon curd;Ganache;No;None;Slice;Weekly;Celebration;No;None;Slice;2.80 €
Adult;58.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;Yes;Sprinkles;Slice;Weekly;Gathering;Yes;Valentine's Day;Slice;2.30 €
Adult;55.0;Femanine;Red Velvet;Cream cheese;Ganache;No;None;Slice;Weekly;Celebration;No;None;Slice;5.60 €
Adult;36.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;No;;Slice;Daily;Celebration;No;None;Slice;5.40 €
Kid;16.0;Masculine;Red Velvet;Strawberry jam;;Yes;Fruits;Cupcake;Weekly;Birthday;No;None;Cupcake;5.00 €
Kid;11.0;Masculine;Red Velvet;Chocolate ganache;Buttercream;No;None;Slice;Daily;Celebration;No;None;Slice;1.10 €
Adult;61.0;Masculine;Red Velvet;Dulce de leche;Cream cheese frosting;No;None;Whole cake;Monthly;Work event;Yes;Easter;Whole cake;17.60 €
Adult;55.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Slice;Weekly;Gathering;No;None;Slice;5.90 €
Adult;62.0;Feminine;Carrot;Cream cheese;Chocolate glaze;No;None;Slice;Monthly;Work event;Yes;Christmas;Slice;5.70 €
Adult;23.0;Feminine;Lemon;Lemon curd;Ganache;No;None;Whole cake;Weekly;Work event;No;None;Whole cake;22.60 €
Adult;48.0;Masculine;Carrot;Cream cheese;Chocolate glaze;Yes;Chocolate chips;Slice;Monthly;Gathering;No;None;Slice;4.90 €
Kid;8.0;Feminine;Red Velvet;Strawberry jam;Chocolate glaze;No;None;Slice;Weekly;Snack;No;None;Slice;2.00 €
Kid;14.0;Feminine;Red Velvet;Strawberry jam;Whipped cream;Yes;Nuts;Slice;Monthly;Celebration;No;None;Slice;2.60 €
Kid;9.0;Masculine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Edible flowers;Slice;Weekly;Celebration;No;None;Slice;1.50 €
